contestid,title,sponsor,details,start_time,end_time,amount,repo,findingsRepo,hide,league,repo_exists,repo_type,finding_repo_exists
195,Tessera - Versus contest,Tessera,"The easiest way to collectively buy, own, and govern the NFTs you already know and love.",Fri Dec 16 2022 20:00:00 GMT+0000 (Coordinated Universal Time),Mon Dec 19 2022 20:00:00 GMT+0000 (Coordinated Universal Time),"$32,070 USDC",https://github.com/code-423n4/2022-12-tessera,https://github.com/code-423n4/2022-12-tessera-findings,False,eth,True,Foundry,True
202,Astaria contest,Astaria,On a mission is to build a highly liquid NFT lending market.,Thu Jan 05 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$90,500 USDC",https://github.com/code-423n4/2023-01-astaria,https://github.com/code-423n4/2023-01-astaria-findings,False,eth,True,Foundry,True
204,Ondo Finance contest,Ondo Finance,Institutional-Grade Finance. On-Chain. For Everyone.,Wed Jan 11 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Tue Jan 17 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$60,500 USDC",https://github.com/code-423n4/2023-01-ondo,https://github.com/code-423n4/2023-01-ondo-findings,False,eth,True,Foundry,True
207,Numoen contest,Numoen,Automated exchange for power perpetuals.,Thu Jan 26 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Wed Feb 01 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$60,500 USDC",https://github.com/code-423n4/2023-01-numoen,https://github.com/code-423n4/2023-01-numoen-findings,False,eth,True,Foundry,True
209,Drips Protocol contest,Drips Protocol,An Ethereum protocol for streaming and splitting funds.,Wed Jan 25 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Fri Feb 03 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$90,500 USDC",https://github.com/code-423n4/2023-01-drips,https://github.com/code-423n4/2023-01-drips-findings,False,eth,True,Foundry,True
211,Popcorn contest,Popcorn,A multi-chain regenerative yield-optimizing protocol.,Tue Jan 31 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Tue Feb 07 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$90,500 USDC",https://github.com/code-423n4/2023-01-popcorn,https://github.com/code-423n4/2023-01-popcorn-findings,False,eth,True,Foundry,True
213,Malt Protocol - Versus contest,Malt Protocol,A collateralized stablecoin that shares arbitrage profit with LPs.,Tue Feb 14 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Mon Feb 20 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$60,500 USDC",https://github.com/code-423n4/2023-02-malt,https://github.com/code-423n4/2023-02-malt-findings,False,eth,True,Foundry,True
217,KUMA Protocol - Versus contest,KUMA Protocol,Bringing yield from Real World Assets to DeFi.,Fri Feb 17 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Wed Feb 22 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$38,600 USDC",https://github.com/code-423n4/2023-02-kuma,https://github.com/code-423n4/2023-02-kuma-findings,False,eth,True,Foundry,True
218,Wenwin contest,Wenwin,The next generation of chance-based gaming.,Mon Mar 06 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Thu Mar 09 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$36,500 USDC",https://github.com/code-423n4/2023-03-wenwin,https://github.com/code-423n4/2023-03-wenwin-findings,False,eth,True,Foundry,True
228,Party Protocol - Versus contest,PartyDAO,A protocol for on-chain group coordination.,Mon Apr 03 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Fri Apr 14 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$56,500 USDC",https://github.com/code-423n4/2023-04-party,https://github.com/code-423n4/2023-04-party-findings,False,eth,True,Foundry,True
230,Caviar Private Pools,Caviar,A fully on-chain NFT AMM that allows you to trade every NFT in a collection.,Fri Apr 07 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Thu Apr 13 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$47,000 USDC",https://github.com/code-423n4/2023-04-caviar,https://github.com/code-423n4/2023-04-caviar-findings,False,eth,True,Foundry,True
231,Frankencoin,Frankencoin,A decentralized and fully collateralized stablecoin.,Wed Apr 12 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Wed Apr 19 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$60,500 USDC",https://github.com/code-423n4/2023-04-frankencoin,https://github.com/code-423n4/2023-04-frankencoin-findings,False,eth,True,Foundry,True
233,EigenLayer Contest,EigenLayer,"Enabling restaking of staked Ether, to be used as cryptoeconomic security for decentralized protocols and applications.",Thu Apr 27 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Thu May 04 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$90,500 USDC",https://github.com/code-423n4/2023-04-eigenlayer,https://github.com/code-423n4/2023-04-eigenlayer-findings,False,eth,True,Foundry,True
242,Maia DAO Ecosystem,Maia DAO Ecosystem,Efficient liquidity renting and management across chains with Curvenized Uniswap V3.,Tue May 30 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Wed Jul 05 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$300,500 USDC",https://github.com/code-423n4/2023-05-maia,https://github.com/code-423n4/2023-05-maia-findings,False,eth,True,Foundry,True
245,Party DAO - Invitational,PartyDAO,A protocol for on-chain group coordination.,Fri May 26 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Tue May 30 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$17,050 USDC",https://github.com/code-423n4/2023-05-party,https://github.com/code-423n4/2023-05-party-findings,False,eth,True,Foundry,True
246,Llama,Llama,A governance system for onchain organizations.,Tue Jun 06 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Wed Jun 14 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$60,500 USDC",https://github.com/code-423n4/2023-06-llama,https://github.com/code-423n4/2023-06-llama-findings,False,eth,True,Foundry,True
249,Stader Labs,Stader Labs,Decentralized ETH liquid staking protocol with 4 ETH bond for anyone to be a node operator.,Fri Jun 02 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$100,000 USDC",https://github.com/code-423n4/2023-06-stader,https://github.com/code-423n4/2023-06-stader-findings,False,eth,True,Foundry,True
253,LUKSO,LUKSO,Provides creators and users with future-proof tools and standards to unleash their creative force in an open interoperable ecosystem.,Fri Jun 30 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Fri Jul 14 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$100,000 USDC",https://github.com/code-423n4/2023-06-lukso,https://github.com/code-423n4/2023-06-lukso-findings,False,eth,True,Foundry,True
259,Basin,Basin,A composable EVM-native decentralized exchange protocol.,Mon Jul 03 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Mon Jul 10 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$40,000 USDC",https://github.com/code-423n4/2023-07-basin,https://github.com/code-423n4/2023-07-basin-findings,False,eth,True,Foundry,True
263,Lens Protocol V2,Lens Protocol,"An open technology stack, builders can create social front-ends or integrate Lens social capabilities.",Mon Jul 17 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Mon Jul 31 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$85,500 USDC",https://github.com/code-423n4/2023-07-lens,https://github.com/code-423n4/2023-07-lens-findings,False,eth,True,Foundry,True
267,Moonwell,Moonwell,An open lending and borrowing DeFi protocol.,Mon Jul 24 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Mon Jul 31 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$100,000 USDC",https://github.com/code-423n4/2023-07-moonwell,https://github.com/code-423n4/2023-07-moonwell-findings,False,eth,True,Foundry,True
274,veRWA ,Canto,Incentivization Primitive for Real World Assets on Canto,Mon Aug 07 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Thu Aug 10 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$36,500",https://github.com/code-423n4/2023-08-verwa,https://github.com/code-423n4/2023-08-verwa-findings,False,ETH,True,Foundry,True
277,Shell Protocol,Shell Protocol,A set of EVM-based smart contracts on Arbitrum One. In a nutshell it is DeFi made simple.,Mon Aug 21 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Mon Aug 28 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$36,500 USDC",https://github.com/code-423n4/2023-08-shell,https://github.com/code-423n4/2023-08-shell-findings,False,ETH,True,Foundry,True
278,Dopex ,Dopex,A rebate system for option writers in the Dopex Protocol.,Mon Aug 21 2023 20:00:00 GMT+0000 (Coordinated Universal Time),Wed Sep 06 2023 20:00:00 GMT+0000 (Coordinated Universal Time),"$125,000 USDC",https://github.com/code-423n4/2023-08-dopex,https://github.com/code-423n4/2023-08-dopex-findings,False,ETH,True,Foundry,True
